"ID","Year","SOURCE","Drugcode","MIC_SIGN","MIC","Minimum","Maximum"
"17CO09GB10",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO09GB10",2017,"Retail Ground Beef","AZI","=",1,1,1
"17CO09GB10",2017,"Retail Ground Beef","CHL","<=",2,0,2
"17CO09GB10",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO09GB10",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO09GB10",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO09GB10",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO09GB10",2017,"Retail Ground Beef","GEN","=",0,0,0
"17CO09GB10",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO09GB10",2017,"Retail Ground Beef","NAL","=",1,1,1
"17CO09GB10",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO09GB10",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO10GB02",2017,"Retail Ground Beef","AMC","=",4,4,4
"17CO10GB02",2017,"Retail Ground Beef","AMP","=",4,4,4
"17CO10GB02",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO10GB02",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO10GB02",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO10GB02",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO10GB02",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO10GB02",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO10GB02",2017,"Retail Ground Beef","FOX","=",4,4,4
"17CO10GB02",2017,"Retail Ground Beef","GEN","=",1,1,1
"17CO10GB02",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO10GB02",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO10GB02",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO10GB02",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO10GB04",2017,"Retail Ground Beef","AMC","=",4,4,4
"17CO10GB04",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO10GB04",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO10GB04",2017,"Retail Ground Beef","AZI","=",2,2,2
"17CO10GB04",2017,"Retail Ground Beef","CHL","=",4,4,4
"17CO10GB04",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO10GB04",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO10GB04",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO10GB04",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO10GB04",2017,"Retail Ground Beef","GEN","=",1,1,1
"17CO10GB04",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO10GB04",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO10GB04",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO10GB04",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO10GB08",2017,"Retail Ground Beef","AMC","=",2,2,2
"17CO10GB08",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO10GB08",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO10GB08",2017,"Retail Ground Beef","AZI","=",2,2,2
"17CO10GB08",2017,"Retail Ground Beef","CHL","=",4,4,4
"17CO10GB08",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO10GB08",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO10GB08",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO10GB08",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO10GB08",2017,"Retail Ground Beef","GEN","=",1,1,1
"17CO10GB08",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO10GB08",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO10GB08",2017,"Retail Ground Beef","STR","=",4,4,4
"17CO10GB08",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO10GB10",2017,"Retail Ground Beef","AMC","=",4,4,4
"17CO10GB10",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO10GB10",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO10GB10",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO10GB10",2017,"Retail Ground Beef","CHL","=",4,4,4
"17CO10GB10",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO10GB10",2017,"Retail Ground Beef","COT","<=",0,0,0
